name,promotion,gender,roster_year
Sami Zayn,WWE,men,2020
Samir Singh,WWE,men,2020
Samoa Joe,WWE,men,2020
Santos Escobar,WWE,men,2020
Saurav,WWE,men,2020
Saxon Huxley,WWE,men,2020
Scott Dawson,WWE,men,2020
Seth Rollins,WWE,men,2020
Shane McMahon,WWE,men,2020
Shawn Daivari,WWE,men,2020
Sheamus,WWE,men,2020
Shelton Benjamin,WWE,men,2020
Shinsuke Nakamura,WWE,men,2020
Sid Scala,WWE,men,2020
SLAPJACK,WWE,men,2020
Steve Cutler,WWE,men,2020
Sunil Singh,WWE,men,2020
T-BAR,WWE,men,2020
Tatsumi Fujinami,WWE,men,2020
Timothy Thatcher,WWE,men,2020
Tino Sabbatelli,WWE,men,2020
Titus O'Neil,WWE,men,2020
Tom Phillips,WWE,men,2020
Tommaso Ciampa,WWE,men,2020
Tony Chimel,WWE,men,2020
Tony Nese,WWE,men,2020
Travis Banks,WWE,men,2020
Trent Seven,WWE,men,2020
Triple H,WWE,men,2020
Tucker,WWE,men,2020
Tyler Bate,WWE,men,2020
Tyler Breeze,WWE,men,2020
Tyler Rust,WWE,men,2020
Tyson T-Bone,WWE,men,2020
The Undertaker,WWE,men,2020
Velveteen Dream,WWE,men,2020
Vic Joseph,WWE,men,2020
Wade Barrett,WWE,men,2020
WALTER,WWE,men,2020
Wesley Blake,WWE,men,2020
Wild Boar,WWE,men,2020
William Regal,WWE,men,2020
Wolfgang,WWE,men,2020
Xavier Woods,WWE,men,2020
Zack Gibson,WWE,men,2020
