name,promotion,gender,roster_year
Armando Estrada,WWE,men,2007
Ashley Massaro,WWE,men,2007
Balls Mahoney,WWE,men,2007
Batista,WWE,men,2007
Beth Phoenix,WWE,men,2007
Big Daddy V,WWE,men,2007
Big Show,WWE,men,2007
Bob Backlund,WWE,men,2007
Bobby Lashley,WWE,men,2007
The Boogeyman,WWE,men,2007
Booker T,WWE,men,2007
Brad Armstrong,WWE,men,2007
Brian Kendrick,WWE,men,2007
Brooke Adams,WWE,men,2007
The Brooklyn Brawler,WWE,men,2007
Candice Michelle,WWE,men,2007
Carlito,WWE,men,2007
Charlie Haas,WWE,men,2007
Chavo Guerrero,WWE,men,2007
Cherry,WWE,men,2007
Chris Benoit,WWE,men,2007
Chris Jericho,WWE,men,2007
Chris Masters,WWE,men,2007
Christopher W. Anderson,WWE,men,2007
Chuck Palumbo,WWE,men,2007
CM Punk,WWE,men,2007
Cody Rhodes,WWE,men,2007
Colin Delaney,WWE,men,2007
Curt Hawkins,WWE,men,2007
Daivari,WWE,men,2007
Dave Taylor,WWE,men,2007
Deuce,WWE,men,2007
DH Smith,WWE,men,2007
Domino,WWE,men,2007
Dr. Tom Prichard,WWE,men,2007
Drew McIntyre,WWE,men,2007
Dusty Rhodes,WWE,men,2007
Edge,WWE,men,2007
Elijah Burke,WWE,men,2007
Eugene,WWE,men,2007
The Fabulous Moolah,WWE,men,2007
Festus,WWE,men,2007
Finlay,WWE,men,2007
Funaki,WWE,men,2007
The Great Khali,WWE,men,2007
Gregory Helms,WWE,men,2007
"""Hacksaw"" Jim Duggan",WWE,men,2007
Hardcore Holly,WWE,men,2007
Henry O. Godwinn,WWE,men,2007
Hornswoggle,WWE,men,2007
Howard Finkel,WWE,men,2007
Hugo Savinovich,WWE,men,2007
Jack Korpela,WWE,men,2007
James Curtis,WWE,men,2007
Jamie Noble,WWE,men,2007
Jeff Hardy,WWE,men,2007
"Jerry ""The King"" Lawler",WWE,men,2007
Jesse,WWE,men,2007
Jillian Hall,WWE,men,2007
Jim Ross,WWE,men,2007
Jimmy Snuka,WWE,men,2007
Jimmy Wang Yang,WWE,men,2007
Joey Mercury,WWE,men,2007
Joey Styles,WWE,men,2007
"John ""Bradshaw"" Layfield",WWE,men,2007
John Cena,WWE,men,2007
John Morrison,WWE,men,2007
Jonathan Coachman,WWE,men,2007
Josh Mathews,WWE,men,2007
JTG,WWE,men,2007
Justin Roberts,WWE,men,2007
Kane,WWE,men,2007
Kelly Kelly,WWE,men,2007
Kenny Dykstra,WWE,men,2007
Kevin Thorn,WWE,men,2007
Kofi Kingston,WWE,men,2007
Krissy Vaine,WWE,men,2007
Kristal,WWE,men,2007
Lance Cade,WWE,men,2007
Layla,WWE,men,2007
Lilian Garcia,WWE,men,2007
Linda McMahon,WWE,men,2007
Marcus Cor Von,WWE,men,2007
Maria,WWE,men,2007
Mark Henry,WWE,men,2007
Matt Hardy,WWE,men,2007
Matt Striker,WWE,men,2007
"""Mean"" Gene Okerlund",WWE,men,2007
Melina,WWE,men,2007
Michael Cole,WWE,men,2007
Michelle McCool,WWE,men,2007
Mick Foley,WWE,men,2007
Mickie James,WWE,men,2007
Mike Knox,WWE,men,2007
The Miz,WWE,men,2007
Montel Vontavious Porter,WWE,men,2007
Mr. Kennedy,WWE,men,2007
Mr. McMahon,WWE,men,2007
Nunzio,WWE,men,2007
Paul Bearer,WWE,men,2007
Paul London,WWE,men,2007
Queen Sharmell,WWE,men,2007
Randy Orton,WWE,men,2007
Ranjin Singh,WWE,men,2007
Rebecca DiPietro,WWE,men,2007
René Duprée,WWE,men,2007
Rey Mysterio,WWE,men,2007
Ric Flair,WWE,men,2007
Rob Conway,WWE,men,2007
Rob Van Dam,WWE,men,2007
Robbie McAllister,WWE,men,2007
Rodney Mack,WWE,men,2007
Rory McAllister,WWE,men,2007
"""Rowdy"" Roddy Piper",WWE,men,2007
Sabu,WWE,men,2007
The Sandman,WWE,men,2007
Santino Marella,WWE,men,2007
Scotty 2 Hotty,WWE,men,2007
Sgt. Slaughter,WWE,men,2007
Shad Gaspard,WWE,men,2007
Shane McMahon,WWE,men,2007
Shannon Moore,WWE,men,2007
Shawn Michaels,WWE,men,2007
Shelly Martinez,WWE,men,2007
Shelton Benjamin,WWE,men,2007
Simon Dean,WWE,men,2007
Snitsky,WWE,men,2007
Stevie Richards,WWE,men,2007
Super Crazy,WWE,men,2007
Sylvain Grenier,WWE,men,2007
Sylvester Terkay,WWE,men,2007
Tatanka,WWE,men,2007
Tazz,WWE,men,2007
Test,WWE,men,2007
Theodore Long,WWE,men,2007
Todd Grisham,WWE,men,2007
Tommy Dreamer,WWE,men,2007
Tony Chimel,WWE,men,2007
Tony Mamaluke,WWE,men,2007
Torrie Wilson,WWE,men,2007
Trevor Murdoch,WWE,men,2007
Trinity,WWE,men,2007
Triple H,WWE,men,2007
Umaga,WWE,men,2007
The Undertaker,WWE,men,2007
Val Venis,WWE,men,2007
Vickie Guerrero,WWE,men,2007
Victoria,WWE,men,2007
Vito,WWE,men,2007
Vladimir Kozlov,WWE,men,2007
William Regal,WWE,men,2007
Zack Ryder,WWE,men,2007
